test,outcome,estimate,se_robust,ci_lower,ci_upper,bandwidth,N_eff,method,specification,estimate_bc,se_conv,N_left,N_right,pvalue
mccrary,density,2.0,,,,,113755,rddensity,,,,,,
placebo,INTERNET_HOGAR,0.03401356378587023,0.04882903921670887,-0.06169135307887916,0.1297184806506196,15.283110621474561,29668,rdrobust,placebo,,,18518.0,11150.0,
placebo,SMARTPHONE,0.026483719403074146,0.024668503156561352,-0.021866546783786106,0.0748339855899344,14.299587354068116,27809,rdrobust,placebo,,,17047.0,10762.0,
bandwidth_h_half,TIENE_BILLETERA,-0.005905717824792683,0.024715349901840107,-0.05434780363239929,0.042536367982813926,9.021590476339748,18649,rdrobust,bandwidth_h_half,,,10522.0,8127.0,
bandwidth_h_optimal,TIENE_BILLETERA,-0.002168354507333714,0.01925393413141767,-0.039906065404912344,0.035569356390244916,18.043180952679496,35006,rdrobust,bandwidth_h_optimal,,,22788.0,12218.0,
bandwidth_h_double,TIENE_BILLETERA,0.0060016201220248755,0.016165546091816935,-0.025682850217936315,0.037686090461986066,36.08636190535899,62536,rdrobust,bandwidth_h_double,,,48448.0,14088.0,
donut_0.5,TIENE_BILLETERA,0.007872478985679054,0.021187258069462693,-0.03365454683046782,0.04939950480182593,18.043180952679496,33947,rdrobust,donut_0.5,,,22788.0,11159.0,
donut_1.0,TIENE_BILLETERA,-0.009356890088741604,0.021485381357359338,-0.05146823754916591,0.0327544573716827,18.043180952679496,31941,rdrobust,donut_1.0,,,21696.0,10245.0,
donut_2.0,TIENE_BILLETERA,0.007619558784974893,0.02949633602809707,-0.050193259830095364,0.06543237740004515,18.043180952679496,30026,rdrobust,donut_2.0,,,20648.0,9378.0,
het_sisfoh_extreme_poor,TIENE_BILLETERA,0.024220639288012685,0.02156403077469644,-0.018044861030392337,0.06648613960641771,18.043180952679496,1548,rdrobust,het_sisfoh_extreme_poor,,,904.0,644.0,
het_sisfoh_non_extreme_poor,TIENE_BILLETERA,0.018470503955434696,0.018962390128394336,-0.018695780696218203,0.055636788607087595,18.043180952679496,5184,rdrobust,het_sisfoh_non_extreme_poor,,,3310.0,1874.0,
het_sisfoh_non_poor,TIENE_BILLETERA,-0.010032378255250857,0.02059271292062319,-0.05039409557967231,0.030329339069170597,18.043180952679496,28274,rdrobust,het_sisfoh_non_poor,,,18574.0,9700.0,
covariate_balance,INTERNET_HOGAR,0.028785303806067475,0.04795740669763483,-0.0652112133212968,0.12278182093343175,18.043180952679496,35006,rdrobust,covariate_balance,,,22788.0,12218.0,
covariate_balance,SMARTPHONE,0.02918986830904657,0.02501741486539429,-0.019844264827126236,0.07822400144521938,18.043180952679496,35006,rdrobust,covariate_balance,,,22788.0,12218.0,
covariate_balance,INGRESO_PC,362.21391279696036,1314.237972169928,-2213.6925126560986,2938.1203382500194,18.043180952679496,35006,rdrobust,covariate_balance,,,22788.0,12218.0,
covariate_balance,NIVEL_EDUCATIVO,0.11954316839712043,0.30410734267641265,-0.47650722324864836,0.7155935600428892,18.043180952679496,34392,rdrobust,covariate_balance,,,22390.0,12002.0,
polynomial_linear,TIENE_BILLETERA,0.0005837298084287734,,-0.03610979046217203,0.03727725007902958,18.043180952679496,35006,rdrobust,,,,,,
polynomial_quadratic,TIENE_BILLETERA,-0.007191166303986085,,-0.05022128528907116,0.03583895268109899,16.508089713981644,31464,rdrobust,,,,,,
placebo_cutoff_left_placebo,TIENE_BILLETERA,-0.006527167373845268,,-0.007054320741618293,-0.006000014006072242,3.0940334702214174,99667,rdrobust_placebo_cutoff,,,,,,
placebo_cutoff_right_placebo,TIENE_BILLETERA,0.019195751767632163,,-0.019478343214495278,0.057869846749759604,6.088644924008479,99667,rdrobust_placebo_cutoff,,,,,,
permutation_inference,TIENE_BILLETERA,-2.8428556771017317,,,,34.22060685687081,113755,permutation_500,,,,,,0.94
